Unique_ID,BANK_TYPE,COMPARISON_TYPE,BANK_NAME_ABBR,SNL_INSTITUTE_ID,YEAR_QUARTER,REG_COMPANY_NAME,REG_SNL_INSTN_KEY,REG_STATE,REG_LLR_TO_GROSS_LOAN,REG_RESV_TO_NPA,HIGH_RISK_RE_LOAN_TO_DOM_LOAN,REG_NCO_TO_AVG_LOAN,REG_LLP_TO_NCO,RESV_TO_ADJ_NPL,PD_NACCR_RESTRUCT_FRCLSD_TO_LOAN_FRCLSD,TOTAL_NCL_TO_LOAN,TOTAL_NCL_TO_ASSETS,TOTAL_NONCURRENT_ASSETS_TO_ASSETS,REG_LLR_TO_GROSS_LOAN,NCO_TO_AVG_LOAN_CU,NET_CREDIT_CARD_CHRG_OFF_TO_AVG_CREDIT_CARD_LOAN,OREO_TO_ASSETS_AQ,REG_EQUITY_RESV_TO_ASSETS,REG_NPL_TO_LOAN,NPA_TO_LOAN,LOAN_LEASES_HFS,TOTAL_LOAN_LEASES_EXCL_HFS,TOTAL_RESV,REG_TOTAL_ASSETS,TOTAL_DEP_INCL_DOM_FRGN,TOTAL_LOAN_LEASES_CHRG_OFF,LLR_LOAN_LOSS_RES_BEGIN_PERIOD,LLR_CHANGES_MERGERS,LLR_OTHER_ADJ,LLR_BAL_AT_END_PREV_YR,TOTAL_LOAN_LEASES_RECOV,LLR_TOTAL_CHRG_OFF_BHC,PROV_FOR_LOAN_LEASE_LOSS,LN_AND_LS_HFI_AMORT_COST_RE_CONST_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_RES_RE_LOAN,LN_AND_LS_HFI_AMORT_COST_COM_LOAN,LN_AND_LS_HFI_AMORT_COST_CREDIT_CARD,LN_AND_LS_HFI_AMORT_COST_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_AMORT_COST_TOTAL,LN_AND_LS_HFI_ALLOWANCE_RE_CONST_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_RES_RE_LOAN,LN_AND_LS_HFI_ALLOWANCE_COM_LOAN,LN_AND_LS_HFI_ALLOWANCE_CREDIT_CARD,LN_AND_LS_HFI_ALLOWANCE_OTHER_CONSUMER_LOAN,LN_AND_LS_HFI_ALLOWANCE_UNALLOCATED,LN_AND_LS_HFI_ALLOWANCE_TOTAL,latitude,longitude
103042-2017Q4,Non-Peer,Non-Peer,Morgan Stanley,103042,2017Q4,Morgan Stanley,103042,NY,0.16,7.66,11.44,0,,13.37,1.18,1.16,0.2,0.35,0.16,0,,0,9.11,1.16,2.03,13926000,130271000,224000,851733000,159436000,0,,,,245000,0,0,-20000,,,,,,,,,,,,,,,,43.299428,-74.217933
100406-2017Q4,Peer,Peer,PNC,PNC,2017Q4,"The PNC Financial Services Group, Inc.",100406,PA,1.17,77.53,16.67,0.22,97.68,86.02,1.91,1.37,0.8,0.82,1.17,0.22,,0.04,13.14,1.42,1.51,2654844,220376830,2610858,381450622,265072506,208763,,,,2605374,85557,208696,120347,,,,,,,,,,,,,,,,41.203322,-77.194525
100233-2017Q4,Peer,Close-Peer,REGIONS,RF,2017Q4,Regions Financial Corporation,100233,AL,1.16,57.5,16.4,0.31,-70.32,62.22,2.38,1.19,0.77,0.77,1.16,0.31,,0.07,13.75,1.91,2.02,348288,79947483,934019,124584404,97190621,104711,,,,1040588,42142,90558,-44000,,,,,,,,,,,,,,,,32.318231,-86.902298
100447-2017Q4,Non-Peer,Non-Peer,State Street,100447,2017Q4,State Street Corporation,100447,MA,0.23,,0.44,0.01,-609.7,,0.01,0.01,0,0,0.23,0.01,,0,9.38,0,0,2991,23291029,54146,238496136,184896370,474,,,,57510,0,474,-2890,,,,,,,,,,,,,,,,42.407211,-71.382437
4047176-2017Q4,Peer,Peer,USB,USB,2017Q4,U.S. Bancorp,4047176,MN,1.38,94.49,13.52,0.46,105.54,99.95,2.4,1.31,0.8,0.8,1.38,0.46,,0.04,11.46,1.4,1.47,3554000,279874000,3925000,462040000,347215000,464000,,,,3908000,139000,463000,343000,,,,,,,,,,,,,,,,46.729553,-94.6859
100382-2017Q4,Mega-Bank,Mega-Bank,Wells Fargo,100382,2017Q4,Wells Fargo & Company,100382,CA,1.13,55.28,15.05,0.31,96.67,59.13,3.4,2.2,1.1,1.1,1.13,0.31,,0.03,11.17,1.96,2.05,20178000,952660000,11004000,1951757000,1336322000,1130000,,,,11078000,379000,1130000,726000,,,,,,,,,,,,,,,,36.778261,-119.417932
100501-2017Q4,Non-Peer,Peer,Zions,100501,2017Q4,"Zions Bancorporation, National Association",100501,UT,1.16,93.94,42.04,0.1,-99.43,98.6,1.28,0.97,0.66,0.66,1.16,0.1,,0.01,12.31,1.22,1.23,43973,44779981,517761,66080511,52996205,26514,,,,540634,15045,,-11404,,,,,,,,,,,,,,,,39.32098,-111.093731
100369-2017Q4,Mega-Bank,Mega-Bank,Bank of America,100369,2017Q4,Bank of America Corporation,100369,NC,1.05,64.87,8.42,0.51,79.71,68.68,2.11,1.21,0.53,0.54,1.05,0.5,,0.01,12.16,1.56,1.62,11430000,980199000,10393000,2281477000,1309844000,1598000,,,,10693000,361000,1595000,986000,,,,,,,,,,,,,,,,35.759573,-79.0193
100438-2018Q1,Peer,Peer,BB&T / Truist Financial Corporation,TFC,2018Q1,Truist Financial Corporation,100438,NC,1.04,106.54,25.91,0.4,105.52,115.23,1.3,0.76,0.5,0.5,1.04,0.4,,0.03,14.09,0.91,0.97,1189000,143017000,1498000,220729000,158196000,181000,,,,1490000,36000,181000,153000,,,,,,,,,,,,,,,,35.759573,-79.0193
100144-2018Q1,Non-Peer,Non-Peer,BNY Mellon,100144,2018Q1,The Bank of New York Mellon Corporation,100144,NY,0.26,124.8,7.01,0,,128.93,0.21,0.14,0.02,0.03,0.26,0,,0,11.21,0.2,0.21,0,60596000,156000,373597000,241895000,1000,,,,159000,1000,1000,-3000,,,,,,,,,,,,,,,,43.299428,-74.217933
103239-2018Q1,Non-Peer,Non-Peer,Capital One,103239,2018Q1,Capital One Financial Corporation,103239,VA,3.03,308.13,12.55,2.58,104.07,312.26,1.83,1.19,0.82,0.82,3.03,2.56,,0.01,15.65,0.97,0.98,1497630,248255992,7566991,362857358,250857745,2277818,,,,7501665,660328,2273490,1683366,,,,,,,,,,,,,,,,37.431573,-78.656894
4041896-2018Q1,Mega-Bank,Mega-Bank,Citigroup,4041896,2018Q1,Citigroup Inc.,4041896,NY,1.78,140.74,5.28,1.12,93.81,144.95,1.66,1.03,0.37,0.37,1.78,1.11,,0.01,11.15,1.24,1.27,5819000,686768000,12354000,1922104000,1001285000,2351000,,,,12355000,429000,2296000,1803000,,,,,,,,,,,,,,,,43.299428,-74.217933
1019881-2018Q1,Peer,Peer,CITIZENS,1019881,2018Q1,"Citizens Financial Group, Inc.",1019881,RI,1.11,79.86,13.9,0.25,113.82,83.39,1.41,0.8,0.58,0.58,1.11,0.25,,0.02,13.85,1.36,1.39,611399,111440985,1245824,153850954,116109465,116618,,,,1236100,46273,116618,80069,,,,,,,,,,,,,,,,41.580095,-71.477429
100206-2018Q1,Peer,Peer,COMERICA,100206,2018Q1,Comerica Incorporated,100206,TX,1.42,152.64,24.68,0.23,49.94,157.53,1,0.74,0.5,0.5,1.42,0.22,,0.01,12.01,0.91,0.93,1570,49239632,697619,72417712,57728495,37229,,,,711761,9665,37229,13766,,,,,,,,,,,,,,,,31.968599,-99.901813
100260-2018Q1,Peer,Close-Peer,FIFTH THIRD,FITB,2018Q1,Fifth Third Bancorp,100260,OH,1.23,74.55,11.88,0.35,28.5,77.44,2.1,0.97,0.64,0.64,1.23,0.35,,0.03,12.24,1.59,1.65,701531,91970115,1137746,141500435,105919820,103398,,,,1195797,22372,102271,23089,,,,,,,,,,,,,,,,40.417287,-82.907123
4039450-2018Q1,Non-Peer,Non-Peer,Goldman Sachs,4039450,2018Q1,"The Goldman Sachs Group, Inc.",4039450,NY,0.58,20.18,6.82,0.3,59.38,27.33,5.62,4.92,0.67,0.67,0.58,0.31,,0.1,8.66,2.12,2.87,6516000,125320000,765000,973546000,150671000,101000,,,,804000,5000,65000,57000,,,,,,,,,,,,,,,,43.299428,-74.217933
100307-2018Q1,Peer,Close-Peer,Huntington,100307,2018Q1,Huntington Bancshares Incorporated,100307,OH,1.01,56.77,15.34,0.21,180.89,59.79,1.91,0.69,0.47,0.48,1.01,0.21,,0.03,11.54,1.71,1.77,505895,71163356,721347,104246668,79608281,72798,,,,690745,34965,72798,68436,,,,,,,,,,,,,,,,40.417287,-82.907123
100201-2018Q1,Mega-Bank,Mega-Bank,JP Morgan Chase,100201,2018Q1,JPMorgan Chase & Co.,100201,NY,1.39,77.53,13.35,0.56,84.42,98.9,2.19,1.35,0.5,0.56,1.39,0.56,,0.02,10.33,1.56,1.79,5905000,956505000,13375000,2609785000,1486961000,1640000,,,,13604000,305000,1640000,1127000,,,,,,,,,,,,,,,,43.299428,-74.217933
100334-2018Q1,Peer,Close-Peer,KEY,KEY,2018Q1,KeyCorp,100334,OH,0.99,113.96,19.04,0.25,102.95,119.9,0.97,0.79,0.52,0.52,0.99,0.25,,0.03,11.52,0.82,0.86,1666887,89352425,896985,137485732,104837775,75650,,,,893473,20059,75506,57233,,,,,,,,,,,,,,,,40.417287,-82.907123
